	localization	go
C002649	mitochondria	go4
C002650	nucleus	go2
C002651	lysosome	go2
C002652	mitochondria	go3
C002653	lysosome	go1
C002654	lysosome	go3
C002656	mitochondria	go2
C002658	mitochondria	go3
C002659	endoplasmic_reticulum	go2
C002660	lysosome	go1
C002662	lysosome	go1
C002663	nucleus	go4
C002664	endoplasmic_reticulum	go2
C002665	mitochondria	go3
C002667	endoplasmic_reticulum	go1
C002669	lysosome	go3
C002670	nucleus	go4
C002671	nucleus	go3
C002678	mitochondria	go2
C002679	lysosome	go3
C002680	mitochondria	go1
C002684	lysosome	go4
C002685	mitochondria	go4
C002686	lysosome	go3
C002687	nucleus	go1
C002688	lysosome	go2
C002689	mitochondria	go2
C002691	nucleus	go3
C002692	nucleus	go3
C002697	endoplasmic_reticulum	go1
C002698	nucleus	go1
C002699	nucleus	go1
C002700	lysosome	go3
C002701	nucleus	go4
C002702	lysosome	go1
C002703	endoplasmic_reticulum	go3
C002704	lysosome	go3
C002705	lysosome	go1
C002706	lysosome	go4
C002708	endoplasmic_reticulum	go3
C002709	lysosome	go2
C002710	lysosome	go2
C002711	mitochondria	go3
C002712	nucleus	go2
C002713	lysosome	go1
C002714	lysosome	go1
C002715	lysosome	go2
C002716	nucleus	go4
C002717	endoplasmic_reticulum	go2
C002718	lysosome	go2
C002721	lysosome	go1
C002722	lysosome	go3
C002723	lysosome	go4
C002724	mitochondria	go3
C002725	nucleus	go3
C002726	nucleus	go4
C002727	mitochondria	go4
C002728	endoplasmic_reticulum	go3
C002731	mitochondria	go2
C002732	mitochondria	go1
C002734	lysosome	go1
C002735	nucleus	go3
C002738	mitochondria	go3
C002739	nucleus	go1
C002740	lysosome	go3
C002741	mitochondria	go2
C002742	nucleus	go1
C002743	mitochondria	go1
C002744	mitochondria	go4
C002746	lysosome	go1
C002747	endoplasmic_reticulum	go1
C002748	lysosome	go1
C002749	nucleus	go1
C002750	mitochondria	go4
C002751	nucleus	go1
C002752	mitochondria	go4
C002753	lysosome	go3
C002754	mitochondria	go2
C002756	nucleus	go3
C002758	nucleus	go2
C002760	nucleus	go4
C002761	mitochondria	go2
C002762	nucleus	go4
C002763	nucleus	go4
C002764	nucleus	go3
C002766	mitochondria	go4
C002767	mitochondria	go2
C002768	nucleus	go1
C002769	endoplasmic_reticulum	go2
C002770	mitochondria	go1
C002771	nucleus	go2
C002772	nucleus	go4
C002777	nucleus	go3
C002778	nucleus	go4
C002779	endoplasmic_reticulum	go4
C002780	endoplasmic_reticulum	go4
C002784	endoplasmic_reticulum	go1
C002785	mitochondria	go1
C002786	mitochondria	go2
C002787	lysosome	go4
C002788	nucleus	go3
C002789	endoplasmic_reticulum	go3
C002795	endoplasmic_reticulum	go4
C002797	mitochondria	go2
C002799	endoplasmic_reticulum	go3
C002800	endoplasmic_reticulum	go4
C002801	mitochondria	go3
C002802	mitochondria	go2
C002803	nucleus	go2
C002804	endoplasmic_reticulum	go1
C002805	endoplasmic_reticulum	go3
C002806	nucleus	go4
C002807	mitochondria	go4
C002808	mitochondria	go4
C002809	endoplasmic_reticulum	go1
C002810	endoplasmic_reticulum	go4
C002812	endoplasmic_reticulum	go2
C002813	mitochondria	go3
C002814	mitochondria	go2
C002815	endoplasmic_reticulum	go3
C002818	endoplasmic_reticulum	go2
C002819	nucleus	go3
C002820	endoplasmic_reticulum	go1
C002821	mitochondria	go2
C002822	nucleus	go1
C002823	lysosome	go1
C002825	lysosome	go3
C002826	endoplasmic_reticulum	go1
C002827	nucleus	go4
C002829	endoplasmic_reticulum	go3
C002830	lysosome	go2
C002831	endoplasmic_reticulum	go2
C002832	nucleus	go1
C002833	endoplasmic_reticulum	go2
C002834	mitochondria	go2
C002835	nucleus	go4
C002836	mitochondria	go1
C002837	endoplasmic_reticulum	go3
C002838	endoplasmic_reticulum	go2
C002844	nucleus	go1
C002845	nucleus	go2
C002847	mitochondria	go2
C002849	endoplasmic_reticulum	go3
C002850	endoplasmic_reticulum	go4
C002851	nucleus	go3
C002852	mitochondria	go1
C002853	nucleus	go2
C002854	endoplasmic_reticulum	go3
C002858	mitochondria	go4
C002859	lysosome	go4
C002860	endoplasmic_reticulum	go2
C002861	lysosome	go4
C002864	lysosome	go4
C002865	mitochondria	go3
C002866	lysosome	go2
C002867	endoplasmic_reticulum	go3
C002868	endoplasmic_reticulum	go3
C002869	nucleus	go4
C002871	lysosome	go2
C002873	lysosome	go1
C002874	nucleus	go4
C002875	mitochondria	go2
C002876	mitochondria	go2
C002878	mitochondria	go1
C002879	endoplasmic_reticulum	go2
C002880	mitochondria	go4
C002881	nucleus	go2
C002882	endoplasmic_reticulum	go2
C002883	nucleus	go3
C002886	endoplasmic_reticulum	go3
C002887	nucleus	go3
C002892	nucleus	go2
C002893	endoplasmic_reticulum	go3
C002894	endoplasmic_reticulum	go2
C002895	lysosome	go3
C002896	lysosome	go3
C002897	mitochondria	go2
C002898	mitochondria	go1
C002899	lysosome	go2
C002902	endoplasmic_reticulum	go3
C002903	lysosome	go3
C002904	endoplasmic_reticulum	go1
C002905	mitochondria	go2
C002906	endoplasmic_reticulum	go3
C002910	nucleus	go2
C002913	lysosome	go1
C002916	endoplasmic_reticulum	go1
C002917	mitochondria	go4
C002920	nucleus	go1
C002921	lysosome	go2
C002923	lysosome	go4
C002925	endoplasmic_reticulum	go3
C002928	mitochondria	go4
C002929	mitochondria	go1
C002930	lysosome	go4
C002931	mitochondria	go4
C002932	endoplasmic_reticulum	go4
C002933	mitochondria	go1
C002935	nucleus	go3
C002936	nucleus	go1
C002937	endoplasmic_reticulum	go4
C002938	endoplasmic_reticulum	go3
C002939	lysosome	go2
C002940	nucleus	go3
C002941	mitochondria	go4
C002942	mitochondria	go3
C002943	mitochondria	go2
C002944	endoplasmic_reticulum	go2
C002945	nucleus	go1
C002947	mitochondria	go4
C002948	mitochondria	go1
C002949	lysosome	go4
C002950	endoplasmic_reticulum	go3
C002952	mitochondria	go4
C002953	lysosome	go2
C002954	lysosome	go2
C002956	endoplasmic_reticulum	go4
C002957	mitochondria	go2
C002959	nucleus	go2
C002960	nucleus	go2
C002961	nucleus	go4
C002963	nucleus	go3
C002965	lysosome	go3
C002966	lysosome	go1
C002968	endoplasmic_reticulum	go4
C002969	nucleus	go1
C002970	nucleus	go4
C002971	nucleus	go1
C002973	endoplasmic_reticulum	go1
C002974	nucleus	go1
C002975	lysosome	go4
C002977	nucleus	go1
C002978	mitochondria	go4
C002982	lysosome	go1
C002983	mitochondria	go4
C002985	lysosome	go4
C002988	endoplasmic_reticulum	go1
C002989	lysosome	go3
C002992	mitochondria	go1
C002993	lysosome	go4
C002995	lysosome	go4
C002996	mitochondria	go3
C002997	mitochondria	go2
C002999	nucleus	go2
C003000	nucleus	go2
C003001	nucleus	go4
C003002	nucleus	go3
C003003	lysosome	go4
C003004	endoplasmic_reticulum	go3
C003008	endoplasmic_reticulum	go2
C003010	endoplasmic_reticulum	go3
C003012	nucleus	go3
C003014	nucleus	go1
C003016	nucleus	go4
C003019	endoplasmic_reticulum	go1
C003020	nucleus	go3
C003024	lysosome	go3
C003025	nucleus	go3
C003026	mitochondria	go1
C003027	lysosome	go3
C003028	endoplasmic_reticulum	go2
C003029	nucleus	go1
C003030	mitochondria	go3
C003031	mitochondria	go2
C003033	lysosome	go4
C003034	endoplasmic_reticulum	go2
C003035	nucleus	go1
C003036	endoplasmic_reticulum	go3
C003037	mitochondria	go3
C003038	endoplasmic_reticulum	go1
C003040	mitochondria	go4
C003041	mitochondria	go4
C003043	nucleus	go2
C003046	nucleus	go1
C003048	nucleus	go4
C003051	nucleus	go2
C003052	nucleus	go1
C003053	nucleus	go3
C003054	nucleus	go3
C003055	mitochondria	go1
C003056	lysosome	go2
C003057	mitochondria	go3
C003058	nucleus	go4
C003059	mitochondria	go3
C003060	nucleus	go4
C003062	mitochondria	go4
C003063	nucleus	go4
C003064	endoplasmic_reticulum	go1
C003065	nucleus	go2
C003067	endoplasmic_reticulum	go3
C003072	nucleus	go4
C003073	mitochondria	go3
C003074	nucleus	go1
C003075	lysosome	go3
C003076	endoplasmic_reticulum	go3
C003077	lysosome	go1
C003079	lysosome	go4
C003080	lysosome	go4
C003081	mitochondria	go4
C003082	lysosome	go3
C003084	endoplasmic_reticulum	go1
C003085	nucleus	go4
C003086	mitochondria	go4
C003087	endoplasmic_reticulum	go2
C003088	endoplasmic_reticulum	go2
C003089	nucleus	go4
C003090	mitochondria	go2
C003091	endoplasmic_reticulum	go3
C003092	mitochondria	go3
C003094	lysosome	go1
C003095	endoplasmic_reticulum	go4
C003100	mitochondria	go4
C003101	mitochondria	go2
C003102	lysosome	go4
C003103	mitochondria	go1
C003106	lysosome	go2
C003107	endoplasmic_reticulum	go2
C003108	nucleus	go4
C003109	nucleus	go4
C003110	nucleus	go2
C003111	lysosome	go2
C003112	lysosome	go1
C003113	endoplasmic_reticulum	go3
C003115	nucleus	go2
C003117	nucleus	go4
C003118	lysosome	go3
C003120	endoplasmic_reticulum	go2
C003121	lysosome	go1
C003123	endoplasmic_reticulum	go2
C003124	lysosome	go3
C003125	lysosome	go1
C003127	nucleus	go4
C003129	endoplasmic_reticulum	go2
C003130	endoplasmic_reticulum	go2
C003131	endoplasmic_reticulum	go1
C003134	endoplasmic_reticulum	go4
C003135	nucleus	go2
C003136	mitochondria	go2
C003137	mitochondria	go1
C003139	lysosome	go2
C003140	lysosome	go4
C003141	endoplasmic_reticulum	go4
C003142	lysosome	go2
C003143	lysosome	go3
C003146	nucleus	go4
C003149	endoplasmic_reticulum	go3
C003150	nucleus	go3
C003151	mitochondria	go3
C003152	mitochondria	go4
C003153	endoplasmic_reticulum	go4
C003155	nucleus	go2
C003156	nucleus	go4
C003157	endoplasmic_reticulum	go3
C003158	mitochondria	go3
C003159	lysosome	go1
C003160	lysosome	go3
C003163	endoplasmic_reticulum	go3
C003165	endoplasmic_reticulum	go4
C003166	endoplasmic_reticulum	go1
C003167	nucleus	go1
C003168	mitochondria	go3
C003170	nucleus	go2
C003171	nucleus	go4
C003173	mitochondria	go1
C003174	mitochondria	go3
C003175	lysosome	go4
C003176	lysosome	go2
C003177	mitochondria	go1
C003178	endoplasmic_reticulum	go2
C003184	endoplasmic_reticulum	go2
C003188	mitochondria	go1
C003191	lysosome	go2
C003192	nucleus	go3
C003194	mitochondria	go3
C003195	lysosome	go1
C003196	mitochondria	go4
C003198	endoplasmic_reticulum	go4
C003199	lysosome	go1
C003200	lysosome	go1
C003202	mitochondria	go1
C003203	mitochondria	go2
C003204	mitochondria	go4
C003205	lysosome	go1
C003206	nucleus	go1
C003207	endoplasmic_reticulum	go2
C003208	endoplasmic_reticulum	go3
C003209	endoplasmic_reticulum	go3
C003210	mitochondria	go3
C003211	mitochondria	go2
C003212	endoplasmic_reticulum	go4
C003213	endoplasmic_reticulum	go2
C003214	mitochondria	go1
C003215	lysosome	go4
C003218	nucleus	go4
C003220	endoplasmic_reticulum	go2
C003221	mitochondria	go1
C003222	nucleus	go2
C003225	nucleus	go4
C003228	endoplasmic_reticulum	go2
C003230	nucleus	go3
C003231	mitochondria	go2
C003232	nucleus	go4
C003233	endoplasmic_reticulum	go3
C003234	lysosome	go4
C003235	nucleus	go4
C003237	nucleus	go4
C003238	endoplasmic_reticulum	go3
C003240	endoplasmic_reticulum	go1
C003241	mitochondria	go4
C003242	mitochondria	go2
C003245	endoplasmic_reticulum	go3
C003250	nucleus	go1
C003251	endoplasmic_reticulum	go2
C003253	lysosome	go2
C003260	nucleus	go3
C003261	mitochondria	go2
C003262	lysosome	go1
C003265	lysosome	go2
C003267	mitochondria	go3
C003269	mitochondria	go1
C003270	lysosome	go1
C003271	lysosome	go4
C003272	mitochondria	go2
C003273	mitochondria	go4
C003275	lysosome	go4
C003276	lysosome	go1
C003278	lysosome	go2
C003279	lysosome	go2
C003281	nucleus	go3
C003283	lysosome	go2
C003288	lysosome	go2
C003289	nucleus	go2
C003291	lysosome	go4
C003292	mitochondria	go1
C003294	mitochondria	go2
C003295	nucleus	go4
C003296	lysosome	go4
C003297	nucleus	go1
C003300	nucleus	go1
C003301	endoplasmic_reticulum	go3
C003303	nucleus	go4
C003304	mitochondria	go3
C003305	endoplasmic_reticulum	go3
C003314	mitochondria	go1
C003315	mitochondria	go1
C003316	nucleus	go3
C003319	nucleus	go1
C003320	endoplasmic_reticulum	go1
C003321	lysosome	go1
C003322	lysosome	go1
C003323	lysosome	go1
C003324	lysosome	go1
C003325	lysosome	go1
C003326	mitochondria	go2
C003327	mitochondria	go4
C003328	mitochondria	go3
C003331	endoplasmic_reticulum	go4
C003332	mitochondria	go2
C003334	mitochondria	go4
C003335	mitochondria	go4
C003336	lysosome	go4
C003339	nucleus	go2
C003340	mitochondria	go4
C003341	nucleus	go1
C003343	lysosome	go3
C003344	mitochondria	go4
C003346	mitochondria	go2
C003347	mitochondria	go3
C003352	lysosome	go2
C003355	lysosome	go4
C003356	lysosome	go4
C003358	nucleus	go3
C003360	lysosome	go1
C003363	endoplasmic_reticulum	go4
C003366	nucleus	go3
C003369	nucleus	go2
C003370	nucleus	go2
C003372	nucleus	go1
C003374	nucleus	go1
C003381	lysosome	go4
C003382	lysosome	go4
C003385	mitochondria	go2
C003387	endoplasmic_reticulum	go3
C003389	mitochondria	go2
C003390	mitochondria	go4
C003393	lysosome	go3
C003394	endoplasmic_reticulum	go1
C003395	endoplasmic_reticulum	go2
C003396	endoplasmic_reticulum	go3
C003397	lysosome	go3
C003398	lysosome	go4
C003399	mitochondria	go2
C003401	endoplasmic_reticulum	go4
C003407	endoplasmic_reticulum	go1
C003408	lysosome	go3
C003409	nucleus	go1
C003411	nucleus	go1
C003414	endoplasmic_reticulum	go4
C003417	nucleus	go4
C003418	endoplasmic_reticulum	go3
C003419	endoplasmic_reticulum	go1
C003421	endoplasmic_reticulum	go2
C003422	lysosome	go1
C003423	endoplasmic_reticulum	go4
C003424	mitochondria	go4
C003425	mitochondria	go3
C003427	mitochondria	go4
C003428	endoplasmic_reticulum	go1
C003430	mitochondria	go3
C003433	nucleus	go1
C003434	mitochondria	go3
C003435	lysosome	go1
C003436	mitochondria	go4
C003437	lysosome	go2
C003438	lysosome	go2
C003440	mitochondria	go2
C003442	mitochondria	go1
C003445	mitochondria	go3
C003448	mitochondria	go4
C003450	endoplasmic_reticulum	go1
C003451	mitochondria	go2
C003452	nucleus	go2
C003453	lysosome	go1
C003454	lysosome	go2
C003455	mitochondria	go3
C003456	mitochondria	go1
C003460	nucleus	go1
C003461	lysosome	go2
C003462	endoplasmic_reticulum	go2
C003463	lysosome	go2
C003464	endoplasmic_reticulum	go3
C003466	endoplasmic_reticulum	go4
C003467	nucleus	go3
C003472	endoplasmic_reticulum	go2
C003474	endoplasmic_reticulum	go1
C003476	endoplasmic_reticulum	go1
C003477	nucleus	go2
C003478	mitochondria	go2
C003481	mitochondria	go4
C003484	endoplasmic_reticulum	go3
C003486	mitochondria	go4
C003488	nucleus	go3
C003489	lysosome	go2
C003490	endoplasmic_reticulum	go2
C003492	endoplasmic_reticulum	go2
C003493	lysosome	go4
C003494	nucleus	go4
C003496	mitochondria	go4
C003497	endoplasmic_reticulum	go4
C003498	mitochondria	go2
C003499	nucleus	go4
C003501	lysosome	go1
C003502	mitochondria	go4
C003503	endoplasmic_reticulum	go1
C003504	endoplasmic_reticulum	go3
C003505	lysosome	go1
C003507	lysosome	go2
C003508	lysosome	go3
C003510	endoplasmic_reticulum	go1
C003511	lysosome	go4
C003512	lysosome	go4
C003514	endoplasmic_reticulum	go4
C003515	nucleus	go4
C003516	mitochondria	go3
C003519	nucleus	go4
C003520	endoplasmic_reticulum	go1
C003523	nucleus	go3
C003524	endoplasmic_reticulum	go2
C003526	mitochondria	go4
C003527	nucleus	go4
C003528	mitochondria	go3
C003529	mitochondria	go3
C003530	endoplasmic_reticulum	go3
C003531	nucleus	go1
C003532	nucleus	go4
C003533	lysosome	go3
C003535	mitochondria	go3
C003536	mitochondria	go4
C003537	nucleus	go3
C003539	endoplasmic_reticulum	go3
C003540	nucleus	go4
C003541	endoplasmic_reticulum	go2
C003547	endoplasmic_reticulum	go2
C003548	endoplasmic_reticulum	go3
C003549	lysosome	go4
C003550	nucleus	go4
C003551	nucleus	go2
C003552	endoplasmic_reticulum	go2
C003555	nucleus	go1
C003558	nucleus	go3
C003563	lysosome	go2
C003564	nucleus	go4
C003568	lysosome	go4
C003569	nucleus	go4
C003571	mitochondria	go1
C003572	lysosome	go1
C003573	lysosome	go3
C003577	mitochondria	go1
C003579	nucleus	go1
C003580	endoplasmic_reticulum	go2
C003581	endoplasmic_reticulum	go3
C003582	nucleus	go2
C003583	lysosome	go3
C003585	nucleus	go3
C003586	lysosome	go3
C003588	endoplasmic_reticulum	go2
C003590	nucleus	go4
C003591	mitochondria	go2
C003594	nucleus	go3
C003595	mitochondria	go1
C003599	nucleus	go2
C003600	mitochondria	go2
C003601	lysosome	go4
C003602	endoplasmic_reticulum	go1
C003603	mitochondria	go1
C003605	lysosome	go3
C003606	endoplasmic_reticulum	go1
C003607	mitochondria	go1
C003608	mitochondria	go4
C003609	mitochondria	go3
C003612	nucleus	go4
C003613	lysosome	go4
C003617	mitochondria	go3
C003618	mitochondria	go1
C003620	nucleus	go4
C003622	mitochondria	go3
C003623	mitochondria	go1
C003626	lysosome	go2
C003627	endoplasmic_reticulum	go1
C003630	lysosome	go4
C003635	mitochondria	go1
C003636	mitochondria	go1
C003639	nucleus	go4
C003643	endoplasmic_reticulum	go4
C003645	endoplasmic_reticulum	go1
C003646	lysosome	go1
C003647	mitochondria	go2
C003648	lysosome	go2
C003649	mitochondria	go2
C003650	mitochondria	go1
C003651	nucleus	go2
C003652	endoplasmic_reticulum	go3
C003653	endoplasmic_reticulum	go2
C003655	mitochondria	go1
C003656	endoplasmic_reticulum	go4
C003660	lysosome	go3
C003664	mitochondria	go1
C003665	lysosome	go1
C003666	mitochondria	go1
C003667	mitochondria	go3
C003668	endoplasmic_reticulum	go2
C003669	nucleus	go1
C003673	mitochondria	go4
C003674	mitochondria	go3
C003676	nucleus	go3
C003677	nucleus	go3
C003678	lysosome	go2
C003679	mitochondria	go1
C003681	mitochondria	go4
C003683	mitochondria	go3
C003684	nucleus	go3
C003686	nucleus	go4
C003695	lysosome	go4
C003696	nucleus	go3
C003698	mitochondria	go2
C003699	mitochondria	go1
C003700	nucleus	go1
C003701	nucleus	go3
C003703	nucleus	go1
C003704	endoplasmic_reticulum	go2
C003707	endoplasmic_reticulum	go2
C003708	mitochondria	go2
C003709	nucleus	go4
C003712	endoplasmic_reticulum	go1
C003713	endoplasmic_reticulum	go1
C003714	nucleus	go1
C003715	lysosome	go2
C003718	nucleus	go3
C003719	lysosome	go1
C003720	lysosome	go2
C003723	lysosome	go3
C003724	nucleus	go1
C003726	nucleus	go3
C003729	nucleus	go1
C003731	lysosome	go2
C003732	nucleus	go3
C003734	lysosome	go2
C003736	endoplasmic_reticulum	go1
C003737	nucleus	go3
C003742	endoplasmic_reticulum	go3
C003743	mitochondria	go2
C003744	lysosome	go3
C003745	lysosome	go4
C003746	nucleus	go3
C003747	lysosome	go3
C003748	endoplasmic_reticulum	go1
C003749	endoplasmic_reticulum	go1
C003750	lysosome	go1
C003752	nucleus	go1
C003755	lysosome	go4
C003756	endoplasmic_reticulum	go2
C003758	mitochondria	go1
C003760	lysosome	go4
C003764	endoplasmic_reticulum	go4
C003766	lysosome	go3
C003768	nucleus	go2
C003769	endoplasmic_reticulum	go2
C003773	lysosome	go4
C003774	mitochondria	go4
C003776	mitochondria	go3
C003777	nucleus	go3
C003778	lysosome	go3
C003779	nucleus	go3
C003780	nucleus	go1
C003782	mitochondria	go3
C003788	lysosome	go2
C003798	mitochondria	go3
C003800	nucleus	go2
C003801	endoplasmic_reticulum	go1
C003802	lysosome	go2
C003803	endoplasmic_reticulum	go4
C003805	nucleus	go4
C003806	nucleus	go4
C003807	endoplasmic_reticulum	go4
C003808	nucleus	go3
C003809	mitochondria	go4
C003811	endoplasmic_reticulum	go4
C003812	lysosome	go1
C003813	endoplasmic_reticulum	go3
C003814	endoplasmic_reticulum	go3
C003817	mitochondria	go4
C003819	endoplasmic_reticulum	go4
C003820	mitochondria	go2
C003830	nucleus	go3
C003831	nucleus	go2
C003832	lysosome	go4
C003835	mitochondria	go3
C003836	mitochondria	go3
C003837	endoplasmic_reticulum	go3
C003838	mitochondria	go3
C003839	nucleus	go3
C003840	mitochondria	go2
C003841	mitochondria	go4
C003843	endoplasmic_reticulum	go1
C003845	nucleus	go4
C003846	mitochondria	go1
C003852	lysosome	go2
C003853	nucleus	go4
C003856	lysosome	go2
C003857	mitochondria	go4
C003858	lysosome	go4
C003859	nucleus	go2
C003860	mitochondria	go2
C003862	mitochondria	go4
C003864	nucleus	go3
C003866	lysosome	go2
C003868	nucleus	go2
C003869	lysosome	go1
C003870	mitochondria	go3
C003872	lysosome	go3
C003875	nucleus	go2
C003876	nucleus	go3
C003878	mitochondria	go1
C003879	mitochondria	go1
C003880	endoplasmic_reticulum	go1
C003883	mitochondria	go4
C003884	nucleus	go4
C003888	lysosome	go3
C003889	mitochondria	go1
C003890	endoplasmic_reticulum	go2
C003891	mitochondria	go3
C003892	lysosome	go3
C003893	nucleus	go2
C003896	nucleus	go1
C003897	mitochondria	go3
C003898	endoplasmic_reticulum	go4
C003900	lysosome	go1
C003901	nucleus	go4
C003902	mitochondria	go2
C003904	lysosome	go1
C003905	mitochondria	go2
C003906	nucleus	go3
C003907	endoplasmic_reticulum	go3
C003908	mitochondria	go2
C003909	lysosome	go3
C003910	mitochondria	go3
C003911	endoplasmic_reticulum	go2
C003912	lysosome	go3
C003914	lysosome	go1
C003916	nucleus	go2
C003917	nucleus	go3
C003918	lysosome	go4
C003919	lysosome	go2
C003921	mitochondria	go1
C003922	nucleus	go1
C003923	endoplasmic_reticulum	go3
C003927	mitochondria	go3
C003929	lysosome	go4
C003930	nucleus	go4
C003932	endoplasmic_reticulum	go1
C003933	endoplasmic_reticulum	go4
C003935	nucleus	go3
C003936	mitochondria	go1
C003937	lysosome	go2
C003938	nucleus	go1
C003939	nucleus	go3
C003941	endoplasmic_reticulum	go4
C003942	mitochondria	go4
C003943	lysosome	go3
C003944	endoplasmic_reticulum	go2
C003945	nucleus	go3
C003946	mitochondria	go1
C003948	endoplasmic_reticulum	go1
C003950	endoplasmic_reticulum	go3
C003951	mitochondria	go1
C003957	lysosome	go1
C003958	lysosome	go2
C003959	nucleus	go3
C003960	lysosome	go4
C003963	mitochondria	go3
C003964	endoplasmic_reticulum	go2
C003967	lysosome	go4
C003972	nucleus	go3
C003979	endoplasmic_reticulum	go2
C003982	endoplasmic_reticulum	go3
C003983	endoplasmic_reticulum	go1
C003986	endoplasmic_reticulum	go1
C003987	mitochondria	go4
C003988	endoplasmic_reticulum	go1
C003989	endoplasmic_reticulum	go4
C003990	endoplasmic_reticulum	go3
C003993	nucleus	go2
C003995	mitochondria	go4
C003997	lysosome	go4
C003998	nucleus	go3
C003999	nucleus	go3
C004000	endoplasmic_reticulum	go4
C004002	mitochondria	go3
C004003	lysosome	go3
C004004	nucleus	go4
C004005	lysosome	go4
C004009	mitochondria	go1
C004010	lysosome	go4
C004011	endoplasmic_reticulum	go4
C004015	lysosome	go3
C004016	mitochondria	go2
C004017	endoplasmic_reticulum	go2
C004018	nucleus	go2
C004019	mitochondria	go1
C004022	endoplasmic_reticulum	go2
C004023	nucleus	go1
C004024	endoplasmic_reticulum	go4
C004025	mitochondria	go1
C004026	mitochondria	go3
C004027	endoplasmic_reticulum	go2
C004028	mitochondria	go1
C004029	nucleus	go4
C004030	endoplasmic_reticulum	go1
C004031	endoplasmic_reticulum	go3
C004036	endoplasmic_reticulum	go3
C004040	mitochondria	go3
C004041	mitochondria	go1
C004042	nucleus	go2
C004043	nucleus	go3
C004050	endoplasmic_reticulum	go2
C004052	lysosome	go1
C004054	mitochondria	go4
C004059	mitochondria	go3
C004062	lysosome	go2
C004063	endoplasmic_reticulum	go2
C004064	mitochondria	go1
C004065	mitochondria	go3
C004068	nucleus	go2
C004070	nucleus	go2
C004071	nucleus	go4
C004073	lysosome	go4
C004075	mitochondria	go3
C004076	nucleus	go1
C004077	nucleus	go3
C004079	endoplasmic_reticulum	go1
C004080	endoplasmic_reticulum	go3
C004081	lysosome	go4
C004086	nucleus	go4
C004087	nucleus	go4
C004088	endoplasmic_reticulum	go1
C004090	nucleus	go1
C004091	mitochondria	go2
C004099	nucleus	go3
C004101	mitochondria	go1
C004103	mitochondria	go4
C004105	lysosome	go3
C004106	nucleus	go3
C004107	nucleus	go4
C004111	nucleus	go3
C004112	endoplasmic_reticulum	go4
C004114	mitochondria	go4
C004115	mitochondria	go2
C004123	mitochondria	go1
C004127	nucleus	go3
C004128	nucleus	go1
C004129	mitochondria	go1
C004130	lysosome	go4
C004131	mitochondria	go1
C004135	endoplasmic_reticulum	go1
C004136	lysosome	go2
C004137	endoplasmic_reticulum	go2
C004138	endoplasmic_reticulum	go1
C004141	mitochondria	go1
C004143	lysosome	go1
C004146	lysosome	go2
C004156	mitochondria	go2
C004158	lysosome	go1
C004159	lysosome	go3
C004161	endoplasmic_reticulum	go2
C004162	endoplasmic_reticulum	go3
C004163	nucleus	go2
C004164	mitochondria	go4
C004166	lysosome	go4
C004167	mitochondria	go4
C004170	mitochondria	go2
C004171	lysosome	go4
C004172	nucleus	go4
C004173	nucleus	go2
C004174	endoplasmic_reticulum	go4
C004176	endoplasmic_reticulum	go3
C004181	nucleus	go1
C004182	endoplasmic_reticulum	go3
C004189	mitochondria	go1
C004190	mitochondria	go3
C004192	endoplasmic_reticulum	go1
C004193	mitochondria	go1
C004194	nucleus	go2
C004196	nucleus	go1
C004197	endoplasmic_reticulum	go1
C004200	mitochondria	go3
C004201	endoplasmic_reticulum	go1
C004202	nucleus	go1
C004203	lysosome	go4
C004205	mitochondria	go1
C004207	mitochondria	go1
C004208	lysosome	go3
C004211	nucleus	go1
C004212	endoplasmic_reticulum	go4
C004215	nucleus	go4
C004220	lysosome	go3
C004223	nucleus	go4
C004225	lysosome	go1
C004226	nucleus	go4
C004232	endoplasmic_reticulum	go2
C004235	mitochondria	go4
C004250	mitochondria	go4
C004251	lysosome	go1
C004252	nucleus	go2
C004253	nucleus	go4
C004254	lysosome	go4
C004255	lysosome	go1
C004256	endoplasmic_reticulum	go1
C004259	nucleus	go3
C004260	endoplasmic_reticulum	go1
C004264	nucleus	go4
C004266	lysosome	go2
C004268	lysosome	go4
C004270	nucleus	go4
C004271	endoplasmic_reticulum	go4
C004272	endoplasmic_reticulum	go4
C004276	lysosome	go3
C004278	endoplasmic_reticulum	go3
C004280	nucleus	go2
C004281	mitochondria	go1
C004285	mitochondria	go3
C004286	endoplasmic_reticulum	go1
C004287	lysosome	go1
C004291	lysosome	go4
C004295	mitochondria	go2
C004297	lysosome	go4
C004302	nucleus	go4
C004303	nucleus	go4
C004304	nucleus	go3
C004305	nucleus	go2
C004307	nucleus	go4
C004308	nucleus	go3
C004312	mitochondria	go2
C004314	mitochondria	go1
C004315	endoplasmic_reticulum	go2
C004316	mitochondria	go4
C004317	mitochondria	go2
C004319	nucleus	go3
C004327	endoplasmic_reticulum	go1
C004331	endoplasmic_reticulum	go1
C004332	endoplasmic_reticulum	go1
C004333	nucleus	go2
C004334	endoplasmic_reticulum	go2
C004335	nucleus	go1
C004336	mitochondria	go4
C004338	mitochondria	go1
C004340	endoplasmic_reticulum	go4
C004343	nucleus	go1
C004348	mitochondria	go3
C004349	endoplasmic_reticulum	go2
C004353	nucleus	go3
C004354	mitochondria	go3
C004365	nucleus	go3
C004367	lysosome	go2
C004369	mitochondria	go1
C004371	lysosome	go3
C004372	endoplasmic_reticulum	go2
